"word","phonetic","meaning","level","category","example","related_words","part_of_speech","root"
"academic","/ˌækəˈdemɪk/","学术的","IELTS","IELTS","She pursued an academic career.","scholarly, educational, intellectual, learned","adj","希腊语 Akademeia"
"academy","/əˈkædəmi/","私立中学；专科院校","CET4","CET4","","","n",""
"accelerate","/əkˈseləreɪt/","加速","IELTS","IELTS","Economic growth continues to accelerate.","speed up, hasten, quicken, expedite","verb","拉丁语 accelerare"
"acceleration","/ækˌseləˈrei∫ən/","加速(度)","CET4","CET4","","","n",""
"accent","/ˈæksənt/","口音，腔调；重音","CET4","CET4","","","n",""
"accept","/əkˈsept/","接受","CET4","General","Please accept our sincere apologies.","receive, take, agree, acknowledge","verb","拉丁语 acceptare"
"acceptable","/əkˈseptəbl/","可接受/合意的","CET4","CET4","","","a",""
"acceptance","/əkˈseptəns/","接受，领受","CET6","CET6","","","n",""
"access","/ˈækses/","访问；通道","CET4","General","Users can access the system remotely.","entry, admission, approach, connection","noun/verb","拉丁语 accedere"
"accessory","/əkˈsesərɪ/","附属品，附件","CET6","CET6","","","n",""
"accident","/ˈæksɪdənt/","意外事件 || by accident偶然地  /without accident平安无事地","CET6","CET6","","","n",""
"accidental","/ˌæksiˈdentl/","偶然的；非本质的","CET4","CET4","","","a",""
"accommodate","/əˈkɑːmədeɪt/","容纳；适应","IELTS","IELTS","The hotel can accommodate 500 guests.","house, hold, contain, adjust","verb","拉丁语 accommodare"
"accommodation","/əˌkɒməˈdeɪʃən/","(usu pl) 住宿等条件，设施","CET6","CET6","","","n",""
"accompany","/əˈkʌmpəni/","陪伴，陪同；伴随","CET4","CET4","","","vt",""
"accomplish","/əˈkʌmplɪʃ/","完成，实现，达到(目的)","CET6","CET6","","","v",""
"accord","/əˈkɔːd/","符合，一致","CET6","CET6","","","v",""
"accordance","/əˈkɔːdəns/","符合，一致  || in accordance with根据","CET6","CET6","","","n",""
"accordingly","/əˈkɔːdiŋli/","因此，所以；照着","CET4","CET4","","","ad",""
"account","/əˈkaʊnt/","账户；说明","CET4","Business","Please open a bank account.","record, report, statement, explanation","noun","拉丁语 computare"
"accumulate","/əˈkjuːmjuleɪt/","积累；积聚","IELTS","IELTS","Dust accumulates on surfaces over time.","build up, collect, gather, amass","verb","拉丁语 accumulare"
"accuracy","/ˈækjurəsi/","准确(性)；准确度","CET4","CET4","","","n",""
"accurate","/ˈækjərət/","准确的","IELTS","IELTS","The measurements need to be accurate.","precise, exact, correct, proper","adj","拉丁语 accuratus"
"accuse","/əˈkjuːz/","指责，谴责 2. 控诉，控告","CET6","CET6","","","v",""
"accustom","/əˈkʌstəm/","使习惯","CET4","CET4","","","vt",""
"accustomed","/әˈkʌstәmd/","惯常的，习惯了的","CET6","CET6","","","a",""
"ache","/eik/","痛；想念 n.疼痛","CET4","CET4","","","vi",""
"achieve","/əˈtʃiːv/","实现；获得","IELTS","IELTS","She achieved her academic goals.","accomplish, attain, reach, fulfill","verb","古法语 achever"
"achievement","/əˈtʃiːvmənt/","完成，达到 2. 成就，成绩","CET6","CET6","","","n",""
"acid","/ˈæsɪd/","酸味的，苦味的 2. 尖刻的","CET6","CET6","","","adj",""
"acknowledge","/əkˈnɑːlɪdʒ/","承认；确认","IELTS","IELTS","The scientist acknowledged her team's contribution.","admit, recognize, accept, credit","verb","中古英语 aknowen"
"acquaint","/əˈkweɪnt/","使认识，使了解","CET6","CET6","","","v",""
"acquaintance","/əˈkweɪntəns/","相识，了解 2. 相识的人，熟人","CET6","CET6","","","n",""
"acquire","/əˈkwaɪər/","收购；获得","CET6","Business","The company acquired a smaller competitor.","purchase, obtain, gain, secure","verb","拉丁语 acquirere"
"acquisition","/ˌækwɪˈzɪʃən/","收购","CET6","Business","The acquisition expanded market share.","purchase, merger, takeover, gain","noun","拉丁语 acquirere"
"acre","/ˈeikə/","英亩(=6.07 亩)","CET4","CET4","","","n",""
"across","/əˈkrɔs/","横过；在...对面","CET4","CET4","","","prep",""
"act","/ækt/","行动；见效 n.行为","CET4","CET4","","","vi",""
"action","/ˈæk∫ən/","行动；作用；功能","CET4","CET4","","","n",""
"activate","/ˈæktɪveɪt/","使活动，使活跃，使积极 2. 刺激，激化","CET6","CET6","","","v",""
"active","/ˈæktiv/","活跃的；积极的","CET4","CET4","","","a",""
"activity","/ækˈtiviti/","活动；活力；行动","CET4","CET4","","","n",""
"actor","/ˈæktə/","男演员；演剧的人","CET4","CET4","","","n",""
"actress","/ˈæktris/","女演员","CET4","CET4","","","n",""
"actual","/ˈæktjuəl/","实际的；现行的","CET4","CET4","","","a",""
"actually","/ˈækt∫uəli/","实际上；竟然","CET4","CET4","","","ad",""
"acute","/əˈkjuːt/","尖锐的，锐角的 2. 激烈的，严重的 3. 敏锐的 4. (疾病)急性的，(疼痛)剧烈的","CET6","CET6","","","adj",""
"ad","/æd/","广告","CET4","CET4","","","n",""
"adapt","/əˈdæpt/","适应；改编","IELTS","IELTS","Species must adapt to environmental changes.","adjust, modify, acclimate, conform","verb","拉丁语 adaptare"
"add","/æd/","添加，附加，掺加","CET4","CET4","","","vt",""
"addict","/ˈædɪkt; əˈdɪkt/","有瘾的人 2. 对某事有强烈兴趣的人","CET6","CET6","","","n",""
"addition","/əˈdɪʃən/","加，加法 || in addition (to)另外，除...之外","CET6","CET6","","","n",""
"additional","/əˈdɪʃənəl/","附加的，追加的，另外的","CET6","CET6","","","adj",""
"address","/əˈdres/","地址；演说；谈吐","CET4","CET4","","","n",""
"adequate","/ˈædɪkwət/","足够的","IELTS","IELTS","Adequate preparation is essential for success.","sufficient, enough, ample, plenty","adj","拉丁语 adaequare"
"adhere","/ədˈhɪə/","粘附， 粘着 2. 坚持，遵循","CET6","CET6","","","v",""
"adjacent","/əˈdʒeɪsənt/","邻近的","CET6","CET6","","","adj",""
"adjective","/ˈædʒiktiv/","形容词 a.形容词的","CET4","CET4","","","n",""
"adjoin","/əˈdʒɔɪn/","贴近，相接","CET6","CET6","","","v",""
"adjust","/əˈdʒʌst/","整顿，整理，安排 2. 使适应于(新环境等)","CET6","CET6","","","v",""
"administration","/ədˌmɪnɪˈstreɪʃən/","管理；行政","IELTS","IELTS","The university administration made new policies.","management, governance, regulation, direction","noun","拉丁语 administrare"
"admire","/ədˈmaiə/","钦佩，羡慕，赞赏","CET4","CET4","","","vt",""
"admission","/ədˈmi∫ən/","允许进入；承认","CET4","CET4","","","n",""
"admit","/ədˈmɪt/","承认；准许进入","CET4","General","He admitted his mistake.","confess, acknowledge, accept, allow","verb","拉丁语 admittere"
"adolescent","/ˌædəˈlesənt/","青少年期的","CET6","CET6","","","adj",""
"adopt","/əˈdɑːpt/","采纳；收养","IELTS","IELTS","Many countries have adopted renewable energy.","embrace, implement, assume, take up","verb","拉丁语 adoptare"
"adore","/əˈdɔː/","敬慕，钟爱，崇拜 2. (infml)很喜欢","CET6","CET6","","","v",""
"adult","/ˈædʌlt/","成年人 a.成年的","CET4","CET4","","","n",""
"advance","/ədˈvæns/","前进；进步","IELTS","IELTS","Medical advances have improved life expectancy.","progress, development, breakthrough, improvement","verb/noun","拉丁语 abante"
"advanced","/ədˈvɑːnst/","先进的；高级的","CET4","CET4","","","a",""
"advantage","/ədˈvæntɪdʒ/","优势","IELTS","IELTS","Being multilingual is an advantage in business.","benefit, edge, gain, asset","noun","拉丁语 advantagium"
"adventure","/ədˈvent∫ə/","冒险；惊险活动","CET4","CET4","","","n",""
"adverb","/ˈædvəːb/","副词","CET4","CET4","","","n",""
"adverse","/ədˈvɜːrs/","不利的；有害的","IELTS","IELTS","Adverse weather conditions delayed the flight.","negative, harmful, unfavorable, detrimental","adj","拉丁语 adversus"
"advertise","/ˈædvərtaɪz/","做广告","CET4","Business","Companies advertise to attract customers.","promote, market, publicize, announce","verb","拉丁语 advertere"
"advertisement","/ədˈvəːtismənt/","广告；公告；登广告","CET4","CET4","","","n",""
"advice","/ədˈvais/","劝告；忠告；意见","CET4","CET4","","","n",""
"advisable","/ədˈvaizəbl/","明智的；可取的","CET4","CET4","","","n",""
"advise","/ədˈvaɪz/","建议","CET4","General","I advise you to study regularly.","recommend, suggest, counsel, guide","verb","拉丁语 advisare"
"advocate","/ˈædvəkeɪt/","提倡；主张","IELTS","IELTS","Environmentalists advocate for renewable energy.","support, promote, recommend, endorse","verb","拉丁语 advocare"
"aerial","/ˈeərɪəl/","空气的，大气的 2. 航空的","CET6","CET6","","","adj",""
"aeroplane","/ˈeərəplein/","飞机","CET4","CET4","","","n",""
"aesthetic","/iːsˈθetik/","美学的，审美的，有美感的","CET6","CET6","","","a",""
"affair","/əˈfeə/","事情，事件；事务","CET4","CET4","","","n",""
"affect","/əˈfekt/","影响","IELTS","IELTS","Climate change affects ecosystems worldwide.","influence, impact, alter, shape","verb","拉丁语 afficere"
"affection","/əˈfekʃən/","慈爱，友爱","CET6","CET6","","","n",""
"affiliate","/əˈfɪlɪeɪt/","(指团体)加入(联合),使隶属，附属于","CET6","CET6","","","v",""
"affirm","/əˈfɜːm/","坚称，断言，肯定地说","CET6","CET6","","","v",""
"afflict","/əˈflɪkt/","使身体(精神)痛苦，折磨","CET6","CET6","","","v",""
"afford","/əˈfɔːrd/","负担得起","CET4","General","We can afford to wait.","bear, sustain, manage, provide","verb","古英语 geforthian"
"afraid","/əˈfreid/","害怕的；担心的","CET4","CET4","","","a",""
"africa","/ˈæfrikə/","非洲","CET4","CET4","","","n",""
"african","/ˈæfrikən/","非洲的 n.非洲人","CET4","CET4","","","a",""
"after","/ˈɑːftə/","在...以后；次于","CET4","CET4","","","prep",""
"afternoon","/ˈɑːftəˈnuːn/","下午，午后","CET4","CET4","","","n",""
"afterward","/ˈɑːftəwəd/","后来，以后","CET4","CET4","","","ad",""
"again","/əˈgein/","又一次；而且","CET4","CET4","","","ad",""
"against","/əˈgeinst/","倚在；逆，对着","CET4","CET4","","","prep",""
"age","/eidʒ/","年龄；时代 vt.变老","CET4","CET4","","","n",""
"agency","/ˈeidʒənsi/","经办；代理；代理处","CET4","CET4","","","n",""
"agenda","/əˈdʒendə/","议程","CET6","Business","What is on today's agenda?","schedule, plan, program, list","noun","拉丁语 agenda"
"agent","/ˈeidʒənt/","代理人，代理商","CET4","CET4","","","n",""
"aggregate","/ˈæɡrɪɡət/","总计；集合","IELTS","IELTS","The aggregate data shows a clear trend.","total, combined, collective, cumulative","adj/verb","拉丁语 aggregare"
"aggressive","/əˈɡresɪv/","侵略性的， 攻击性的，爱寻衅的 2. 有进取心的","CET6","CET6","","","adj",""
"ago","/əˈgəu/","以前","CET4","CET4","","","ad",""
"agony","/ˈæɡənɪ/","极度的痛苦 2. 痛苦的挣扎","CET6","CET6","","","n",""
"agree","/əˈɡriː/","同意","CET4","General","We agree with your proposal.","concur, consent, accede, approve","verb","拉丁语 aggrecare"
"agreeable","/əˈɡriːəbl/","惬意的，爽快的 2. 易相处的  3. 适宜的，适合的","CET6","CET6","","","adj",""
"agreement","/əˈɡriːmənt/","协议","CET4","Business","Both parties signed the agreement.","contract, deal, pact, understanding","noun","拉丁语 aggrecare"
"agriculture","/ˈægrikʌlt∫ə/","农业，农艺；农学","CET4","CET4","","","n",""
"ahead","/əˈhed/","在前；向前；提前","CET4","CET4","","","ad",""
"aid","/eɪd/","援助，帮助","CET6","CET6","","","v",""
"aim","/eim/","瞄准，针对；致力","CET4","CET4","","","vi",""
"air","/eə/","空气；空中；外观","CET4","CET4","","","n",""
"air-condition","/ˈeәkәnˌdiʃən/","设以空调设备，用空调调节","CET6","CET6","","","v",""
"aircraft","/ˈeəkrɑːft/","飞机，飞行器","CET4","CET4","","","n",""
"airline","/ˈeəlain/","航空公司；航线","CET4","CET4","","","n",""
"airplane","/ˈeəˌplein/","飞机","CET4","CET4","","","n",""
"airport","/ˈeəpɔːt/","机场，航空站","CET4","CET4","","","n",""
"aisle","/aɪl/","(教堂、戏院等的)通道，走廊","CET6","CET6","","","n",""
"alarm","/əˈlɑːm/","警报 2. 惊恐","CET6","CET6","","","n",""
"album","/ˈælbəm/","照相簿，邮票册","CET6","CET6","","","n",""
"alcohol","/ˈælkəhɒl/","乙醇，酒精","CET6","CET6","","","n",""
"alert","/əˈlɜːt/","警惕的，警觉的 2. 敏捷的，灵活的","CET6","CET6","","","adj",""
"algorithm","/ˈælɡərɪðəm/","算法","CET4","Technology","Machine learning algorithms process data efficiently.","procedure, computation, logic, formula","noun","阿拉伯语 al-Khwarizmi"
"alien","/ˈeɪlɪən/","外侨，外国人","CET6","CET6","","","n",""
"alienate","/ˈeɪlɪəneɪt/","使疏远，离间","CET6","CET6","","","v",""
"alike","/əˈlaik/","同样的，相同的","CET4","CET4","","","a",""
"alive","/əˈlaiv/","活着的；活跃的","CET4","CET4","","","a",""
"all","/ɔːl/","全部的 prep.全部","CET4","CET4","","","a",""
"allege","/əˈledʒ/","(在提不出证明的情况下)断言，声称","CET6","CET6","","","v",""
"alleviate","/əˈliːvɪeɪt/","缓和，减轻(痛苦等)","CET6","CET6","","","v",""
"alliance","/əˈlaɪəns/","联盟","CET6","Business","The two companies formed a strategic alliance.","partnership, coalition, union, collaboration","noun","拉丁语 alligare"
"allocate","/ˈæləkeɪt/","分配；拨出","IELTS","IELTS","Funds were allocated for research and development.","assign, distribute, allot, designate","verb","拉丁语 allocare"
"allow","/əˈlaʊ/","允许","CET4","General","Please allow me to introduce myself.","permit, let, authorize, grant","verb","拉丁语 allaudare"
"alloy","/ˈælɔɪ/","合金","CET6","CET6","","","n",""
"almost","/ˈɔːlməust/","几乎，差不多","CET4","CET4","","","ad",""
"alone","/əˈləun/","单独的 ad.单独地","CET4","CET4","","","a",""
"along","/əˈlɔŋ/","沿着 ad.向前","CET4","CET4","","","prep",""
"aloud","/əˈlaud/","出声地，大声地","CET4","CET4","","","ad",""
"alphabet","/ˈælfəbit/","字母表，字母系统","CET4","CET4","","","n",""
"already","/ɔːlˈredi/","早已，已经","CET4","CET4","","","ad",""
"also","/ˈɔːlsəu/","亦，也；而且，还","CET4","CET4","","","ad",""
"alter","/ˈɔːltə/","变动","CET6","CET6","","","v",""
"alternate","/ɔːlˈtɜːnət/","交替的，轮流的，交错的  [ˈɔːltəneɪt]","CET6","CET6","","","adj",""
"alternative","/ɔːlˈtɜːrnətɪv/","替代的；选择","IELTS","IELTS","We need to find alternative solutions.","option, choice, substitute, other","adj/noun","拉丁语 alternare"
"although","/ɔːlˈðəu/","尽管，虽然","CET4","CET4","","","conj",""
"altitude","/ˈæltitjuːd/","高，高度；高处","CET4","CET4","","","n",""
"altogether","/ˌɔːltəˈgeðə/","完全；总而言之","CET4","CET4","","","ad",""
"aluminium","/ˌæljuːˈminjəm/","铝","CET4","CET4","","","n",""
"always","/ˈɔːlweiz/","总是，一直；永远","CET4","CET4","","","ad",""
"amaze","/əˈmeiz/","使惊奇，使惊愕","CET4","CET4","","","vt",""
"ambiguous","/æmˈbɪɡjuəs/","模糊的","IELTS","IELTS","The statement was deliberately ambiguous.","vague, unclear, uncertain, equivocal","adj","拉丁语 ambigere"
"ambition","/æmˈbɪʃən/","志向，抱负，雄心 2. 野心，奢望","CET6","CET6","","","n",""
"ambitious","/æmˈbɪʃəs/","有雄心的，野心勃勃的 2. 劲头十足的","CET6","CET6","","","adj",""
"ambulance","/ˈæmbjuləns/","救护车；野战医院","CET4","CET4","","","n",""
"amend","/əˈmend/","修改，修正，改进","CET6","CET6","","","v",""
"america","/əˈmerikə/","美洲；美国","CET4","CET4","","","n",""
"american","/əˈmerikən/","美洲的 n.美国人","CET4","CET4","","","a",""
"ammunition","/ˌæmjʊˈnɪʃən/","弹药","CET6","CET6","","","n",""
"among","/əˈmʌŋ/","在...之中","CET4","CET4","","","prep",""
"amongst","/əˈmʌŋst/","在...之中(=among)","CET4","CET4","","","prep",""
"amount","/əˈmaunt/","总数；数量；和","CET4","CET4","","","n",""
"ampere","/ˈæmpiər/","安培","CET4","CET4","","","n",""
"amplify","/ˈæmplɪfaɪ/","详述，详加解说 2. 放大(声音等)，增强(音量)","CET6","CET6","","","v",""
"amuse","/əˈmjuːz/","逗...乐；给...娱乐","CET4","CET4","","","vt",""
"analog","/ˈænəlɔːɡ/","模拟的","CET6","Technology","Analog signals vary continuously.","continuous, physical, conventional","adj","希腊语 analogos"
"analogy","/əˈnælədʒɪ/","相似，类似 2. 类推，类比，比拟","CET6","CET6","","","n",""
"analyse","/ˈænәlaiz/","分析，细察，分解","CET6","CET6","","","v",""
"analysis","/əˈnæləsɪs/","分析","CET4","Science","Scientific analysis reveals important patterns.","examination, study, review, evaluation","noun","希腊语 analyein"
"ancestor","/ˈænsestə/","祖先，祖宗","CET6","CET6","","","n",""
"anchor","/ˈæŋkə/","锚 vi.抛锚，停泊","CET4","CET4","","","n",""
"ancient","/ˈeɪnʃənt/","古老的","CET4","General","Ancient civilizations built great monuments.","old, antique, archaic, prehistoric","adj","拉丁语 antiquus"
"and","/ænd/","和，又，并，则","CET4","CET4","","","conj",""
"angel","/ˈeindʒəl/","天使，神差，安琪儿","CET4","CET4","","","n",""
"anger","/ˈæŋgə/","怒，愤怒 vt.使发怒","CET4","CET4","","","n",""
"angle","/ˈæŋgl/","角，角度","CET4","CET4","","","n",""
"angry","/ˈæŋgri/","愤怒的，生气的","CET4","CET4","","","a",""
"animal","/ˈæniməl/","动物，兽 a.动物的","CET4","CET4","","","n",""
"ankle","/ˈæŋkl/","踝，踝节部","CET4","CET4","","","n",""
"announce","/əˈnaʊns/","宣布；通知","CET4","General","The CEO announced a new partnership.","declare, proclaim, reveal, broadcast","verb","拉丁语 annuntiare"
"announcer","/əˈnaunsə/","宣告者；播音员","CET4","CET4","","","n",""
"annoy","/əˈnɔɪ/","使烦恼，使生气 2. 打搅","CET6","CET6","","","v",""
"annual","/ˈænjuəl/","年度的","CET4","Business","The annual report is published in March.","yearly, yearly, once-a-year","adj","拉丁语 annualis"
"anomaly","/əˈnɑːməli/","异常；反常","TOEFL","TOEFL","The anomaly was detected by the monitoring system.","irregularity, deviation, oddity, exception","noun","希腊语 anomalos"
"anonymous","/əˈnɒnɪməs/","无名的，不具名的","CET6","CET6","","","adj",""
"another","/əˈnʌðə/","再一个的；别的","CET4","CET4","","","a",""
"answer","/ˈɑːnsə/","回答；响应；适应","CET4","CET4","","","vt",""
"ant","/ænt/","蚂蚁","CET4","CET4","","","n",""
"anticipate","/ænˈtɪsɪpeɪt/","预期；预料","IELTS","IELTS","We anticipate strong demand for the product.","expect, foresee, predict, envisage","verb","拉丁语 anticipare"
"anxiety","/æŋˈzaɪəti/","焦虑","CET4","General","Exam anxiety is common among students.","worry, concern, unease, nervousness","noun","拉丁语 anxietas"
"anxious","/ˈæŋk∫əs/","忧虑的；渴望的","CET4","CET4","","","a",""
"any","/ˈeni/","什么，一些；任何的","CET4","CET4","","","a",""
"anybody","/ˈeniˌbɔdi/","任何人","CET4","CET4","","","prep",""
"anyhow","/ˈenihau/","无论如何","CET4","CET4","","","ad",""
"anyone","/ˈeniwʌn/","任何人","CET4","CET4","","","pron",""
"anything","/ˈeniθiŋ/","任何事物；一切","CET4","CET4","","","pron",""
"anyway","/ˈeniwei/","无论如何","CET4","CET4","","","ad",""
"anywhere","/ˈeniweə/","在什么地方","CET4","CET4","","","ad",""
"apart","/əˈpɑːt/","相隔；分开；除去","CET4","CET4","","","ad",""
"apartment","/əˈpɑːtmənt/","一套房间 2. 一套公寓房间","CET6","CET6","","","n",""
"apologize","/əˈpɔlədʒaiz/","道歉，谢罪，认错","CET4","CET4","","","vi",""
"apology","/əˈpɒlədʒɪ/","道歉，认错，谢罪 2. (为信仰等的)辩解","CET6","CET6","","","n",""
"apparatus","/ˌæpəˈreɪtəs/","(pl apparatus, apparatuses)","CET6","CET6","","","",""
"apparent","/əˈpærənt/","明显的","IELTS","IELTS","The benefits of exercise are apparent.","obvious, clear, evident, visible","adj","拉丁语 apparens"
"appeal","/əˈpiːl/","呼吁；吸引","CET4","General","The idea appeals to many people.","attract, interest, charm, allure","verb/noun","拉丁语 appellare"
"appear","/əˈpiə/","出现；来到；似乎","CET4","CET4","","","vi",""
"appearance","/əˈpɪərəns/","出现，出场，露面 2. 外貌，外观，外表","CET6","CET6","","","n",""
"appease","/əˈpiːz/","使满足，平息，抚慰","CET6","CET6","","","v",""
"appendix","/əˈpendɪks/","附录","IELTS","IELTS","See the appendix for detailed data.","supplement, addendum, attachment, postscript","noun","拉丁语 appendix"
"appetite","/ˈæpitait/","食欲，胃口；欲望","CET4","CET4","","","n",""
"applaud","/əˈplɔːd/","鼓掌，欢迎，欢呼 2. 赞成，称赞","CET6","CET6","","","v",""
"apple","/ˈæpl/","苹果，苹果树","CET4","CET4","","","n",""
"appliance","/əˈplaɪəns/","器具，机械，装置","CET6","CET6","","","n",""
"applicable","/ˈæplikəbl/","能应用的；适当的","CET4","CET4","","","a",""
"application","/ˌæplɪˈkeɪʃən/","应用；应用程序","CET4","Technology","This application helps you learn English.","program, software, app, tool","noun","拉丁语 applicare"
"apply","/əˈplaɪ/","应用；申请","CET4","General","Please apply for the position online.","use, employ, utilize, request","verb","拉丁语 applicare"
"appoint","/əˈpɔint/","任命，委任；约定","CET4","CET4","","","vt",""
"appointment","/əˈpɔintmənt/","任命;约定,约会","CET4","CET4","","","n",""
"appraisal","/əˈpreɪzəl/","评定，鉴定，评价","CET6","CET6","","","n",""
"appreciate","/əˈpriːʃieɪt/","欣赏；感激","IELTS","IELTS","We appreciate your continued support.","value, treasure, admire, cherish","verb","拉丁语 appretiare"
"approach","/əˈproʊtʃ/","方法；接近","IELTS","IELTS","This approach proved highly effective.","method, strategy, technique, tactic","verb/noun","拉丁语 appropiare"
"appropriate","/əˈproʊpriət/","适当的","IELTS","IELTS","Choose the most appropriate response.","suitable, proper, fitting, relevant","adj","拉丁语 appropriare"
"approval","/əˈpruːvəl/","赞成，同意；批准","CET4","CET4","","","n",""
"approve","/əˈpruːv/","批准；赞同","CET4","General","The committee approved the proposal.","authorize, sanction, endorse, permit","verb","拉丁语 approbare"
"approximate","/əˈprɑːksɪmət/","大约的","IELTS","IELTS","The approximate cost is $500.","rough, estimated, near, close","adj","拉丁语 approximare"
"approximately","/əprɔksiˈmətli/","近似地，大约","CET4","CET4","","","ad",""
"april","/ˈeiprəl/","四月","CET4","CET4","","","n",""
"apt","/æpt/","恰当的，贴切的 2. 易于...的","CET6","CET6","","","adj",""
"arabian","/əˈreibjən/","阿拉伯的","CET4","CET4","","","a",""
"arbitrary","/ˈɑːbitrəri/","随心所欲的；专断的","CET4","CET4","","","a",""
"arc","/ɑːk/","弧线，弧形","CET6","CET6","","","n",""
"architecture","/ˈɑːrkɪtektʃər/","架构","CET6","Technology","Microservices architecture improves scalability.","design, structure, framework, pattern","noun","希腊语 architekton"
"area","/ˈeəriə/","面积；地区；领域","CET4","CET4","","","n",""
"arena","/əˈriːnə/","(古罗马圆形剧场中央的)竞技场地，竞技场 2. 活动场所，竞争场所","CET6","CET6","","","n",""
"argue","/ˈɑːrɡjuː/","争论；论证","CET4","General","They argued about the best approach.","debate, dispute, contend, reason","verb","拉丁语 arguere"
"argument","/ˈɑːgjumənt/","争论，辩论；理由","CET4","CET4","","","n",""
"arise","/əˈraiz/","出现；由...引起","CET4","CET4","","","vi",""
"arithmetic","/əˈriθmətik/","算术，四则运算","CET4","CET4","","","n",""
"arm","/ɑːm/","臂；臂状物；武器","CET4","CET4","","","n",""
"armor","/ˈɑːmә/","盔甲，潜水服，装甲","CET6","CET6","","","n",""
"army","/ˈɑːmi/","军队；陆军","CET4","CET4","","","n",""
"around","/əˈraund/","在...周围","CET4","CET4","","","prep",""
"arouse","/əˈraʊz/","唤醒  2. 唤起，激起，引起(注意、同情、嫉妒、怀疑等)","CET6","CET6","","","v",""
"arrange","/əˈreɪndʒ/","安排","CET4","General","Let me arrange a meeting for us.","organize, plan, schedule, coordinate","verb","古法语 arengier"
"arrangement","/əˈreɪndʒmənt/","整理，排列，布置 2. 安排，准备，筹备 3. 商定","CET6","CET6","","","n",""
"array","/əˈreɪ/","展示，陈列 2. 排列整齐的一队人，一长列(物品) 3. (特殊场合穿的)盛装","CET6","CET6","","","n",""
"arrest","/əˈrest/","逮捕，拘留，扣留 2. 抓住，吸引 3. 阻止，阻碍，抑制","CET6","CET6","","","v",""
"arrival","/əˈraivəl/","到达；到来；到达者","CET4","CET4","","","n",""
"arrive","/əˈraiv/","到达；来临；达到","CET4","CET4","","","vi",""
"arrogant","/ˈærəɡənt/","·傲慢无礼的，骄傲自大的","CET6","CET6","","","adj",""
"arrow","/ˈærəu/","箭；箭状物","CET4","CET4","","","n",""
"art","/ɑːt/","艺术，美术；技术","CET4","CET4","","","n",""
"artery","/ˈɑːtərɪ/","动脉 2. 干线，要道(道路、铁路等)","CET6","CET6","","","n",""
"article","/ˈɑːrtɪkl/","文章；物品","CET4","General","She wrote an article about climate change.","piece, essay, report, item","noun","拉丁语 articulus"
"articulate","/ɑːˈtɪkjʊlɪt/","清楚明白地表 2. 用关节连接","CET6","CET6","","","v",""
"artificial","/ˌɑːrtɪˈfɪʃl/","人工的","CET4","Technology","Artificial intelligence is transforming our world.","synthetic, man-made, fake, simulated","adj","拉丁语 artificialis"
